segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,28,13,15,28.0,2.19,7.82,46.43,2.319,0.5005,0.4643,-0.0362,0.24569
bookmaker:betfair exchange,3,1,2,3.0,-1.16,-38.67,33.33,2.1,0.5345,0.3333,-0.2012,0.24737
bookmaker:unibet,7,3,4,7.0,0.01,0.14,42.86,2.279,0.4855,0.4286,-0.0569,0.25944
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,17,8,9,17.0,1.68,9.88,47.06,2.329,0.4958,0.4706,-0.0252,0.25875
context:ensemble,18,8,10,18.0,0.45,2.5,44.44,2.31,0.492,0.4444,-0.0476,0.23562
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,12,5,7,12.0,-1.62,-13.5,41.67,2.147,0.4975,0.4167,-0.0809,0.23802
family:dnb,6,3,3,6.0,1.57,26.17,50.0,2.484,0.4879,0.5,0.0121,0.26964
family:h2h,6,4,2,6.0,3.43,57.17,66.67,2.438,0.4482,0.6667,0.2184,0.26151
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,13,4,9,13.0,-3.44,-26.46,30.77,2.292,0.5327,0.3077,-0.225,0.24204
league:other,4,3,1,4.0,3.04,76.0,75.0,2.322,0.5864,0.75,0.1636,0.18163
league:preferred,19,10,9,19.0,3.47,18.26,52.63,2.263,0.4951,0.5263,0.0312,0.25866
league:secondary,15,4,11,15.0,-5.47,-36.47,26.67,2.327,0.4841,0.2667,-0.2175,0.2531
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,11,5,6,11.0,-0.62,-5.64,45.45,2.116,0.503,0.4545,-0.0485,0.24228
market:dnb:away,1,1,0,1.0,1.75,175.0,100.0,2.75,0.3983,1.0,0.6017,0.36204
market:dnb:home,5,2,3,5.0,-0.18,-3.6,40.0,2.431,0.5059,0.4,-0.1059,0.25116
market:h2h:away,2,2,0,2.0,2.65,132.5,100.0,2.325,0.4614,1.0,0.5386,0.2927
market:h2h:home,4,2,2,4.0,0.78,19.5,50.0,2.495,0.4416,0.5,0.0584,0.24592
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:under,13,4,9,13.0,-3.44,-26.46,30.77,2.292,0.5327,0.3077,-0.225,0.24204
odds:1.70-2.04,8,3,5,8.0,-2.45,-30.63,37.5,1.897,0.5744,0.375,-0.1994,0.25891
odds:2.05-2.74,25,12,13,25.0,2.99,11.96,48.0,2.33,0.4862,0.48,-0.0062,0.25177
odds:2.75-3.49,5,2,3,5.0,0.5,10.0,40.0,2.75,0.4531,0.4,-0.0531,0.21438
prob:35-40,1,1,0,1.0,1.75,175.0,100.0,2.75,0.3983,1.0,0.6017,0.36204
prob:40-45,9,3,6,9.0,-1.62,-18.0,33.33,2.576,0.4317,0.3333,-0.0983,0.23477
prob:45-50,11,5,6,11.0,0.78,7.09,45.45,2.315,0.4712,0.4545,-0.0167,0.2516
prob:50-55,7,2,5,7.0,-2.75,-39.29,28.57,2.13,0.5172,0.2857,-0.2315,0.2635
prob:55-60,6,3,3,6.0,0.79,13.17,50.0,2.157,0.5753,0.5,-0.0753,0.25805
prob:60-65,4,3,1,4.0,2.09,52.25,75.0,1.985,0.6187,0.75,0.1313,0.20053
